date,death,pm10,tempf,season
4/1/1991,21,-14.905115,44.5,Spring
4/2/1991,19,,41.5,Spring
4/3/1991,26,-9.391304,44,Spring
4/4/1991,17,,49,Spring
4/5/1991,16,4.695652,54,Spring
4/6/1991,27,,62.5,Spring
4/7/1991,17,-4.2130651,68,Spring
4/8/1991,20,,71,Spring
4/9/1991,33,45.985714,75,Spring
4/10/1991,15,,60,Spring
4/11/1991,21,49.078571,52.5,Spring
4/12/1991,15,,51,Spring
4/13/1991,29,-11.006947,45.5,Spring
4/14/1991,13,,45.5,Spring
4/15/1991,18,-22.767605,50.5,Spring
4/16/1991,19,,62.5,Spring
4/17/1991,16,-3.8450704,66,Spring
4/18/1991,29,,52.5,Spring
4/19/1991,21,-1.4730895,48.5,Spring
4/20/1991,18,,47.5,Spring
4/21/1991,20,-17.715279,47.5,Spring
4/22/1991,15,,51.5,Spring
4/23/1991,17,-22.847221,53.5,Spring
4/24/1991,25,,57.5,Spring
4/25/1991,10,-6.5575395,60.5,Spring
4/26/1991,27,,61.5,Spring
4/27/1991,18,24.986206,66.5,Spring
4/28/1991,27,,65.5,Spring
4/29/1991,23,9.9103451,57.5,Spring
4/30/1991,16,,68,Spring
5/1/1991,26,10.550137,67,Spring
5/2/1991,20,,60.5,Spring
5/3/1991,23,20.959183,56,Spring
5/4/1991,22,,59,Spring
5/5/1991,20,-12.815068,61,Spring
5/6/1991,17,,68.5,Spring
5/7/1991,22,-8.2896662,59,Spring
5/8/1991,19,,61,Spring
5/9/1991,22,23.121622,60,Spring
5/10/1991,16,,67.5,Spring
5/11/1991,23,17.108109,63.5,Spring
5/12/1991,25,,70.5,Spring
5/13/1991,20,12.645917,78.5,Spring
5/14/1991,17,,77,Spring
5/15/1991,18,21.353333,76.5,Spring
5/16/1991,23,,72.5,Spring
5/17/1991,20,7.1066666,75,Spring
5/18/1991,21,,63,Spring
5/19/1991,26,-7.2739515,57,Spring
5/20/1991,15,,58.5,Spring
5/21/1991,9,-13.842105,69,Spring
5/22/1991,26,,73.5,Spring
5/23/1991,19,7.9802632,77,Spring
5/24/1991,19,,76,Spring
5/25/1991,24,4.5081968,81,Spring
5/26/1991,21,,82,Spring
5/27/1991,15,-7.7402596,80.5,Spring
5/28/1991,27,,83.5,Spring
5/29/1991,17,21.163399,83,Spring
5/30/1991,24,,83.5,Spring
5/31/1991,23,22.274675,84.5,Spring
6/1/1991,18,,81.5,Spring
6/2/1991,18,16.167742,77,Spring
6/3/1991,19,,77,Spring
6/4/1991,23,23.31613,71.5,Spring
6/5/1991,15,,64.5,Spring
6/6/1991,15,-20.147541,63,Spring
6/7/1991,26,,65,Spring
6/8/1991,16,5.5095539,69,Spring
6/9/1991,19,,75.5,Spring
6/10/1991,24,4.4777069,78,Spring
6/11/1991,22,,79,Spring
6/12/1991,19,38.160374,78,Spring
6/13/1991,16,,71.5,Spring
6/14/1991,18,-9.5597486,70,Spring
6/15/1991,29,,78,Spring
6/16/1991,22,24.572327,86,Spring
6/17/1991,20,,82,Spring
6/18/1991,17,2.8004098,70.5,Spring
6/19/1991,27,,69,Spring
6/20/1991,22,,77.5,Spring
6/21/1991,19,,79.5,Spring
6/22/1991,13,35.48447,72.5,Spring
6/23/1991,18,,63,Spring
6/24/1991,12,-13.658951,67.5,Spring
6/25/1991,21,,70.5,Spring
6/26/1991,22,-0.28834355,70,Spring
6/27/1991,16,,72.5,Spring
6/28/1991,17,-8.3558283,80.5,Spring
6/29/1991,21,,85.5,Spring
6/30/1991,23,19.025,87,Spring
7/1/1991,22,,78,Summer
7/2/1991,23,-2.3030303,78.5,Summer
7/3/1991,13,,80.5,Summer
7/4/1991,16,15.527273,73,Summer
7/5/1991,22,,74,Summer
7/6/1991,16,1.5149717,79.5,Summer
7/7/1991,28,,84,Summer
7/8/1991,25,16.796408,83,Summer
7/9/1991,19,,80,Summer
7/10/1991,13,-5.1676645,75,Summer
7/11/1991,24,,78,Summer
7/12/1991,15,3.263067,76.5,Summer
7/13/1991,23,,82,Summer
7/14/1991,20,3.8392856,79.5,Summer
7/15/1991,12,,77,Summer
7/16/1991,14,-8.3571424,76.5,Summer
7/17/1991,20,,80,Summer
7/18/1991,20,5.2572107,83.5,Summer
7/19/1991,23,,86,Summer
7/20/1991,20,2.8757396,86,Summer
7/21/1991,28,,88.5,Summer
7/22/1991,27,49.881657,86.5,Summer
7/23/1991,29,,88,Summer
7/24/1991,30,25.631147,84.5,Summer
7/25/1991,19,,77.5,Summer
7/26/1991,23,-7.1999998,79,Summer
7/27/1991,15,,70.5,Summer
7/28/1991,14,,73,Summer
7/29/1991,26,,70,Summer
7/30/1991,20,-12.103887,72,Summer
7/31/1991,23,,78.5,Summer
8/1/1991,20,2.7988167,77.5,Summer
8/2/1991,21,,84.5,Summer
8/3/1991,21,29.869822,85,Summer
8/4/1991,14,,82,Summer
8/5/1991,21,4.795042,77,Summer
8/6/1991,16,,76.5,Summer
8/7/1991,17,-6.0473371,75,Summer
8/8/1991,20,,76,Summer
8/9/1991,25,10.343195,78,Summer
8/10/1991,23,,78,Summer
8/11/1991,21,-7.465517,74.5,Summer
8/12/1991,24,,75.5,Summer
8/13/1991,19,-0.56213015,77.5,Summer
8/14/1991,15,,76,Summer
8/15/1991,17,6.5384617,75,Summer
8/16/1991,23,,77.5,Summer
8/17/1991,19,23.565548,78.5,Summer
8/18/1991,21,,81,Summer
8/19/1991,20,,80,Summer
8/20/1991,16,,73,Summer
8/21/1991,23,-11.343195,71.5,Summer
8/22/1991,21,,72.5,Summer
8/23/1991,19,0.3601695,75,Summer
8/24/1991,17,,77,Summer
8/25/1991,23,17.680473,73,Summer
8/26/1991,19,,72.5,Summer
8/27/1991,12,-5.3727813,76,Summer
8/28/1991,21,,80,Summer
8/29/1991,12,-2.2492604,83,Summer
8/30/1991,15,,85,Summer
8/31/1991,22,16.881657,84.5,Summer
9/1/1991,8,,68,Summer
9/2/1991,14,-17.994118,64.5,Summer
9/3/1991,20,,67.5,Summer
9/4/1991,20,-9.9181767,73.5,Summer
9/5/1991,18,,76,Summer
9/6/1991,18,-5.1754384,70.5,Summer
9/7/1991,11,,72,Summer
9/8/1991,14,6.895349,76,Summer
9/9/1991,16,,76,Summer
9/10/1991,20,20.755432,75.5,Summer
9/11/1991,14,,76,Summer
9/12/1991,20,-3.0057471,70,Summer
9/13/1991,21,,69,Summer
9/14/1991,16,11.994253,75.5,Summer
9/15/1991,18,,77,Summer
9/16/1991,25,-2.6968148,83.5,Summer
9/17/1991,17,,84.5,Summer
9/18/1991,10,25.994253,79.5,Summer
9/19/1991,13,,68,Summer
9/20/1991,20,-15.896552,59.5,Summer
9/21/1991,16,,58,Summer
9/22/1991,14,-15.599717,57.5,Summer
9/23/1991,17,,61.5,Summer
9/24/1991,31,-7.8390803,67,Summer
9/25/1991,17,,65,Summer
9/26/1991,23,-17.913794,65,Summer
9/27/1991,18,,55,Summer
9/28/1991,17,-11.635593,55,Summer
9/29/1991,21,,62,Summer
9/30/1991,19,-2.6321838,60,Summer
10/1/1991,26,,67,Autumn
10/2/1991,24,1.3390805,70.5,Autumn
10/3/1991,22,,72,Autumn
10/4/1991,27,-11.409604,72,Autumn
10/5/1991,17,,70.5,Autumn
10/6/1991,19,-17.551723,58.5,Autumn
10/7/1991,24,,50,Autumn
10/8/1991,20,-17.5,51,Autumn
10/9/1991,21,,57.5,Autumn
10/10/1991,30,-0.68446326,60.5,Autumn
10/11/1991,25,,56,Autumn
10/12/1991,21,0.77011496,53.5,Autumn
10/13/1991,18,,51,Autumn
10/14/1991,18,-17.229885,50,Autumn
10/15/1991,18,,62.5,Autumn
10/16/1991,20,-3.2931035,55,Autumn
10/17/1991,15,,48.5,Autumn
10/18/1991,29,-21.327587,58.5,Autumn
10/19/1991,20,,63.5,Autumn
10/20/1991,23,7.7183909,46.5,Autumn
10/21/1991,18,,44,Autumn
10/22/1991,21,2.8475549,53,Autumn
10/23/1991,21,,60,Autumn
10/24/1991,21,,63.5,Autumn
10/25/1991,13,,61,Autumn
10/26/1991,14,26.597702,60.5,Autumn
10/27/1991,24,,63,Autumn
10/28/1991,21,-6.1506915,60.5,Autumn
10/29/1991,15,,47.5,Autumn
10/30/1991,27,-4,50.5,Autumn
10/31/1991,25,,57.5,Autumn
11/1/1991,16,3.1551723,54,Autumn
11/2/1991,21,,58.5,Autumn
11/3/1991,18,-0.88135594,44.5,Autumn
11/4/1991,24,,36,Autumn
11/5/1991,18,-1.7816092,35,Autumn
11/6/1991,21,,36.5,Autumn
11/7/1991,17,17.229885,40.5,Autumn
11/8/1991,30,,41,Autumn
11/9/1991,24,4.2804599,37.5,Autumn
11/10/1991,16,,39.5,Autumn
11/11/1991,26,-21.356321,42,Autumn
11/12/1991,17,,40.5,Autumn
11/13/1991,26,-8.2471266,41.5,Autumn
11/14/1991,23,,46.5,Autumn
11/15/1991,20,33.471611,56.5,Autumn
11/16/1991,28,,56,Autumn
11/17/1991,17,-8.1034479,40.5,Autumn
11/18/1991,18,,39.5,Autumn
11/19/1991,27,7.9022989,50,Autumn
11/20/1991,22,,58.5,Autumn
11/21/1991,27,22.642817,67.5,Autumn
11/22/1991,23,,60,Autumn
11/23/1991,14,-18.178162,57.5,Autumn
11/24/1991,19,,44.5,Autumn
11/25/1991,22,-17.24,32.5,Autumn
11/26/1991,17,,31.5,Autumn
11/27/1991,35,-10.508474,31,Autumn
11/28/1991,17,,43,Autumn
11/29/1991,14,5.9942856,57,Autumn
11/30/1991,23,,57,Autumn
12/1/1991,17,1.2457143,59.5,Autumn
12/2/1991,21,,47.5,Autumn
12/3/1991,10,-18.29381,48.5,Autumn
12/4/1991,21,,34,Autumn
12/5/1991,20,-17.394285,26.5,Autumn
12/6/1991,23,,40.5,Autumn
12/7/1991,27,-4.2897725,38.5,Autumn
12/8/1991,17,,50,Autumn
12/9/1991,27,11.933333,57.5,Autumn
12/10/1991,29,,41.5,Autumn
12/11/1991,19,-13.403409,42.5,Autumn
12/12/1991,20,,41.5,Autumn
12/13/1991,28,27.869318,52.5,Autumn
12/14/1991,26,,49.5,Autumn
12/15/1991,28,-9.4947519,35.5,Autumn
12/16/1991,15,,28.5,Autumn
12/17/1991,20,-7.9204545,35,Autumn
12/18/1991,21,,33,Autumn
12/19/1991,27,-3.0113637,24.5,Autumn
12/20/1991,17,,28,Autumn
12/21/1991,31,14.70339,40.5,Autumn
12/22/1991,22,,38.5,Autumn
12/23/1991,23,-13.723164,34.5,Autumn
12/24/1991,19,,35.5,Autumn
12/25/1991,27,-13.762712,34.5,Autumn
12/26/1991,17,,31,Autumn
12/27/1991,31,1.5833334,36,Autumn
12/28/1991,22,,31.5,Autumn
12/29/1991,22,17.169491,43.5,Autumn
12/30/1991,33,,38.5,Autumn
12/31/1991,23,-16.723164,29.5,Autumn
1/1/1992,18,,30.5,Winter
1/2/1992,29,5.871469,41.5,Winter
1/3/1992,26,,48,Winter
1/4/1992,27,-11.60452,46,Winter
1/5/1992,25,,45,Winter
1/6/1992,23,-23.553673,37.5,Winter
1/7/1992,20,,35,Winter
1/8/1992,21,-7.6119308,38.5,Winter
1/9/1992,28,,39,Winter
1/10/1992,19,6.4350281,43,Winter
1/11/1992,35,,39,Winter
1/12/1992,20,-16.553673,37.5,Winter
1/13/1992,18,,43.5,Winter
1/14/1992,18,20.843502,45.5,Winter
1/15/1992,19,,26.5,Winter
1/16/1992,30,-10.677966,22,Winter
1/17/1992,21,,26.5,Winter
1/18/1992,31,-10.661017,28,Winter
1/19/1992,32,,15.5,Winter
1/20/1992,25,-13.190914,24,Winter
1/21/1992,38,,33.5,Winter
1/22/1992,18,14.610169,32,Winter
1/23/1992,32,,43.5,Winter
1/24/1992,24,-7.1468925,34,Winter
1/25/1992,34,,26,Winter
1/26/1992,18,-17.033487,24.5,Winter
1/27/1992,24,,24.5,Winter
1/28/1992,28,26.921349,35.5,Winter
1/29/1992,36,,35,Winter
1/30/1992,21,,37,Winter
1/31/1992,25,,39.5,Winter
2/1/1992,16,14.981726,33,Winter
2/2/1992,28,,31,Winter
2/3/1992,26,-18.005617,36,Winter
2/4/1992,26,,37,Winter
2/5/1992,18,37.073032,34,Winter
2/6/1992,27,,29,Winter
2/7/1992,27,-4.611773,33.5,Winter
2/8/1992,19,,32,Winter
2/9/1992,24,-7.8820224,25,Winter
2/10/1992,26,,22.5,Winter
2/11/1992,17,-9.9550562,38.5,Winter
2/12/1992,25,,32,Winter
2/13/1992,25,-11.56266,25.5,Winter
2/14/1992,20,,38,Winter
2/15/1992,23,2.1910112,44,Winter
2/16/1992,21,,45.5,Winter
2/17/1992,25,-18.539326,36,Winter
2/18/1992,20,,40.5,Winter
2/19/1992,22,-3.6726584,49,Winter
2/20/1992,19,,41.5,Winter
2/21/1992,14,-11.536313,42,Winter
2/22/1992,21,,42,Winter
2/23/1992,28,6.4078212,46,Winter
2/24/1992,20,,43.5,Winter
2/25/1992,29,-8.1713991,37,Winter
2/26/1992,24,,38.5,Winter
2/27/1992,17,-13.748604,38.5,Winter
2/28/1992,26,,47,Winter
2/29/1992,25,0.25139666,40,Winter
3/1/1992,28,,40,Winter
3/2/1992,26,-10.804176,49,Winter
3/3/1992,28,,42,Winter
3/4/1992,21,3.3240223,40,Winter
3/5/1992,26,,47,Winter
3/6/1992,20,25.268156,46.5,Winter
3/7/1992,19,,53,Winter
3/8/1992,20,-7.4527636,56,Winter
3/9/1992,18,,54.5,Winter
3/10/1992,25,5.3687153,53.5,Winter
3/11/1992,18,,40.5,Winter
3/12/1992,27,-13.49162,34,Winter
3/13/1992,17,,29.5,Winter
3/14/1992,24,-11.650726,30.5,Winter
3/15/1992,21,,30.5,Winter
3/16/1992,16,-14.296089,26.5,Winter
3/17/1992,31,,41,Winter
3/18/1992,20,0.63687152,41,Winter
3/19/1992,30,,34,Winter
3/20/1992,19,-16.092215,35,Winter
3/21/1992,16,,35,Winter
3/22/1992,19,-9.3407822,32,Winter
3/23/1992,16,,33.5,Winter
3/24/1992,16,-5.3743019,36,Winter
3/25/1992,26,,42,Winter
3/26/1992,27,2.8705723,45,Winter
3/27/1992,21,,46,Winter
3/28/1992,25,-18.290503,42.5,Winter
3/29/1992,13,,43.5,Winter
3/30/1992,15,-21.296089,53,Winter
3/31/1992,27,,49.5,Winter
4/1/1992,24,-5.6281533,46.5,Spring
4/2/1992,20,,36.5,Spring
4/3/1992,17,-1.1061453,36,Spring
4/4/1992,22,,37.5,Spring
4/5/1992,21,-8.1508379,43,Spring
4/6/1992,12,,48,Spring
4/7/1992,15,-9.0215454,56,Spring
4/8/1992,19,,55.5,Spring
4/9/1992,17,10.681564,54,Spring
4/10/1992,15,,57.5,Spring
4/11/1992,12,50.720669,61,Spring
4/12/1992,24,,57,Spring
4/13/1992,23,0.20102899,42,Spring
4/14/1992,17,,48,Spring
4/15/1992,16,-5.3240223,48.5,Spring
4/16/1992,23,,48,Spring
4/17/1992,19,8.4692736,65.5,Spring
4/18/1992,22,,52.5,Spring
4/19/1992,22,3.1358106,46.5,Spring
4/20/1992,13,,53,Spring
4/21/1992,21,-4.3854747,61.5,Spring
4/22/1992,18,,66.5,Spring
4/23/1992,25,-7.3407822,61.5,Spring
4/24/1992,18,,67,Spring
4/25/1992,20,6.8032107,56,Spring
4/26/1992,20,,46.5,Spring
4/27/1992,15,-18.172222,49.5,Spring
4/28/1992,25,,52.5,Spring
4/29/1992,20,-3.1500001,52,Spring
4/30/1992,19,,54.5,Spring
5/1/1992,22,0.14579777,58.5,Spring
5/2/1992,19,,70.5,Spring
5/3/1992,22,12.761111,70.5,Spring
5/4/1992,18,,56.5,Spring
5/5/1992,15,-2.1436465,53,Spring
5/6/1992,20,,52,Spring
5/7/1992,23,-8.5673447,50,Spring
5/8/1992,25,,51.5,Spring
5/9/1992,23,-15.966851,57,Spring
5/10/1992,14,,61,Spring
5/11/1992,18,-1.8950276,64.5,Spring
5/12/1992,26,,61,Spring
5/13/1992,21,-0.65717286,63.5,Spring
5/14/1992,20,,69.5,Spring
5/15/1992,23,11.895027,62,Spring
5/16/1992,25,,58.5,Spring
5/17/1992,20,5.0994477,62,Spring
5/18/1992,11,,68.5,Spring
5/19/1992,8,0.64474523,61.5,Spring
5/20/1992,23,,59.5,Spring
5/21/1992,18,-7.0220995,60.5,Spring
5/22/1992,21,,69,Spring
5/23/1992,18,29.110497,73,Spring
5/24/1992,25,,67.5,Spring
5/25/1992,8,12.922839,50.5,Spring
5/26/1992,18,,51,Spring
5/27/1992,20,-16.889503,57.5,Spring
5/28/1992,34,,56.5,Spring
5/29/1992,21,3.1868131,60,Spring
5/30/1992,17,,59,Spring
5/31/1992,16,-11.815031,66.5,Spring
6/1/1992,15,,65,Spring
6/2/1992,15,-11.659341,64.5,Spring
6/3/1992,17,,66,Spring
6/4/1992,20,2.2417583,64.5,Spring
6/5/1992,17,,68,Spring
6/6/1992,21,-12.868965,74,Spring
6/7/1992,19,,75.5,Spring
6/8/1992,17,14.154696,80,Spring
6/9/1992,13,,72,Spring
6/10/1992,11,29.259668,69.5,Spring
6/11/1992,14,,67.5,Spring
6/12/1992,22,1.5355844,69,Spring
6/13/1992,21,,69,Spring
6/14/1992,15,-0.41436464,71.5,Spring
6/15/1992,11,,74.5,Spring
6/16/1992,20,-7.4364643,70,Spring
6/17/1992,24,,70.5,Spring
6/18/1992,15,-1.5354452,68.5,Spring
6/19/1992,13,,72.5,Spring
6/20/1992,21,0.50276244,69.5,Spring
6/21/1992,18,,62.5,Spring
6/22/1992,24,-6.3149171,59,Spring
6/23/1992,21,,63,Spring
6/24/1992,23,1.4833269,71.5,Spring
6/25/1992,20,,70.5,Spring
6/26/1992,17,9.6187849,73,Spring
6/27/1992,26,,73,Spring
6/28/1992,23,7.6961327,73,Spring
6/29/1992,14,,72,Spring
6/30/1992,22,16.975189,79,Spring
7/1/1992,11,,78.5,Summer
7/2/1992,23,13.707182,73.5,Summer
7/3/1992,23,,69,Summer
7/4/1992,14,-7.1381216,74.5,Summer
7/5/1992,25,,72.5,Summer
7/6/1992,27,6.8357701,75,Summer
7/7/1992,24,,72.5,Summer
7/8/1992,21,-5.2154698,71,Summer
7/9/1992,14,,82.5,Summer
7/10/1992,23,32.745857,84.5,Summer
7/11/1992,16,,82.5,Summer
7/12/1992,18,10.225594,82,Summer
7/13/1992,20,,83,Summer
7/14/1992,26,15.817679,85.5,Summer
7/15/1992,20,,85,Summer
7/16/1992,15,16.03315,78,Summer
7/17/1992,17,,81.5,Summer
7/18/1992,8,13.15577,77.5,Summer
7/19/1992,22,,78,Summer
7/20/1992,19,0.95027626,80,Summer
7/21/1992,19,,81.5,Summer
7/22/1992,22,17.939226,73,Summer
7/23/1992,26,,77,Summer
7/24/1992,19,-3.8958452,69.5,Summer
7/25/1992,31,,69.5,Summer
7/26/1992,20,-11.066298,73,Summer
7/27/1992,19,,78.5,Summer
7/28/1992,12,0.93370163,73.5,Summer
7/29/1992,21,,75,Summer
7/30/1992,21,24.168795,78,Summer
7/31/1992,19,,79.5,Summer
8/1/1992,25,13.005494,70.5,Summer
8/2/1992,21,,71,Summer
8/3/1992,21,-3.7857144,75.5,Summer
8/4/1992,18,,75.5,Summer
8/5/1992,23,0.9920001,69.5,Summer
8/6/1992,16,,69,Summer
8/7/1992,16,5.4120879,70.5,Summer
8/8/1992,21,,70,Summer
8/9/1992,19,5.4340658,80,Summer
8/10/1992,17,,79,Summer
8/11/1992,15,13.088635,81.5,Summer
8/12/1992,21,,74,Summer
8/13/1992,22,2.1208792,68.5,Summer
8/14/1992,17,,69.5,Summer
8/15/1992,17,-8.8131866,64,Summer
8/16/1992,21,,65,Summer
8/17/1992,10,-15.549922,70,Summer
8/18/1992,18,,73.5,Summer
8/19/1992,18,-3.7362638,74.5,Summer
8/20/1992,14,,71,Summer
8/21/1992,22,0.33516484,68.5,Summer
8/22/1992,12,,70,Summer
8/23/1992,17,19.870855,72.5,Summer
8/24/1992,27,,72,Summer
8/25/1992,25,13.285714,77,Summer
8/26/1992,16,,81.5,Summer
8/27/1992,28,40.302197,81,Summer
8/28/1992,11,,77,Summer
8/29/1992,22,3.9973912,65,Summer
8/30/1992,18,,66,Summer
8/31/1992,11,-5.6868134,73.5,Summer
9/1/1992,18,,68,Summer
9/2/1992,18,4.164835,68.5,Summer
9/3/1992,25,,74.5,Summer
9/4/1992,25,11.705636,76.5,Summer
9/5/1992,22,,74,Summer
9/6/1992,26,9.2912092,67,Summer
9/7/1992,19,,73,Summer
9/8/1992,22,-12.741758,75,Summer
9/9/1992,18,,76,Summer
9/10/1992,21,3.8867037,77.5,Summer
9/11/1992,19,,70.5,Summer
9/12/1992,10,-9.6868134,64,Summer
9/13/1992,20,,61,Summer
9/14/1992,22,-3.6098902,62,Summer
9/15/1992,19,,64.5,Summer
9/16/1992,15,5.2529926,68.5,Summer
9/17/1992,18,,73,Summer
9/18/1992,17,25.467033,73.5,Summer
9/19/1992,18,,70,Summer
9/20/1992,17,-6.5714288,66,Summer
9/21/1992,23,,69,Summer
9/22/1992,21,-3.7746451,79,Summer
9/23/1992,27,,61.5,Summer
9/24/1992,16,-11.714286,55,Summer
9/25/1992,15,,55.5,Summer
9/26/1992,16,-16.785715,65.5,Summer
9/27/1992,29,,69,Summer
9/28/1992,18,-4.001236,65,Summer
9/29/1992,18,,56.5,Summer
9/30/1992,26,-12.857142,50.5,Summer
10/1/1992,22,,53.5,Autumn
10/2/1992,21,-10.851648,57,Autumn
10/3/1992,16,,63,Autumn
10/4/1992,21,5.9412432,59,Autumn
10/5/1992,13,,55.5,Autumn
10/6/1992,14,-7.7307692,52,Autumn
10/7/1992,15,,51.5,Autumn
10/8/1992,25,14.258242,58.5,Autumn
10/9/1992,23,,65.5,Autumn
10/10/1992,21,-8.6069021,64,Autumn
10/11/1992,20,,60.5,Autumn
10/12/1992,16,-1.2692307,55.5,Autumn
10/13/1992,18,,57,Autumn
10/14/1992,22,4.8076925,58.5,Autumn
10/15/1992,25,,67,Autumn
10/16/1992,21,32.710541,67,Autumn
10/17/1992,17,,47.5,Autumn
10/18/1992,18,-15.093407,46.5,Autumn
10/19/1992,27,,42,Autumn
10/20/1992,13,-12.065934,39.5,Autumn
10/21/1992,23,,55,Autumn
10/22/1992,22,5.134551,48.5,Autumn
10/23/1992,22,,49.5,Autumn
10/24/1992,19,24.983517,54.5,Autumn
10/25/1992,30,,49,Autumn
10/26/1992,23,-20.043957,49.5,Autumn
10/27/1992,14,,53.5,Autumn
10/28/1992,12,-6.6072645,52,Autumn
10/29/1992,19,,51.5,Autumn
10/30/1992,22,26.868132,53.5,Autumn
10/31/1992,19,,48,Autumn
11/1/1992,21,-0.1978022,44.5,Autumn
11/2/1992,26,,50,Autumn
11/3/1992,20,-12.337229,60.5,Autumn
11/4/1992,13,,53.5,Autumn
11/5/1992,21,5.9120879,53,Autumn
11/6/1992,22,,43,Autumn
11/7/1992,17,-11.131868,40,Autumn
11/8/1992,18,,39,Autumn
11/9/1992,14,-7.5566788,39,Autumn
11/10/1992,21,,41.5,Autumn
11/11/1992,24,12.626373,47.5,Autumn
11/12/1992,21,,59,Autumn
11/13/1992,21,5.6483517,52,Autumn
11/14/1992,27,,38.5,Autumn
11/15/1992,15,-12.989952,36.5,Autumn
11/16/1992,30,,34,Autumn
11/17/1992,18,-0.26923078,45,Autumn
11/18/1992,20,,50,Autumn
11/19/1992,19,31.741758,40,Autumn
11/20/1992,23,,43.5,Autumn
11/21/1992,12,-2.5143259,54,Autumn
11/22/1992,24,,60,Autumn
11/23/1992,19,-21.06044,58.5,Autumn
11/24/1992,12,,51.5,Autumn
11/25/1992,8,-4.0439563,51.5,Autumn
11/26/1992,20,,56,Autumn
11/27/1992,13,-10.475927,48,Autumn
11/28/1992,28,,46.5,Autumn
11/29/1992,18,-9.1758242,41,Autumn
11/30/1992,20,,37.5,Autumn
12/1/1992,20,-2.1923077,38.5,Autumn
12/2/1992,22,,37,Autumn
12/3/1992,17,4.2239513,39,Autumn
12/4/1992,17,,34.5,Autumn
12/5/1992,23,0.74725276,36.5,Autumn
12/6/1992,27,,32.5,Autumn
12/7/1992,17,,38.5,Autumn
12/8/1992,17,,36,Autumn
12/9/1992,22,-7.5845952,34,Autumn
12/10/1992,24,,38,Autumn
12/11/1992,17,-14.076923,44.5,Autumn
12/12/1992,25,,41,Autumn
12/13/1992,21,-21.978022,40.5,Autumn
12/14/1992,11,,37.5,Autumn
12/15/1992,21,-3.877686,36.5,Autumn
12/16/1992,20,,40.5,Autumn
12/17/1992,30,4.9835167,50,Autumn
12/18/1992,20,,38.5,Autumn
12/19/1992,20,2.9175825,40,Autumn
12/20/1992,20,,44,Autumn
12/21/1992,22,-11.650732,34,Autumn
12/22/1992,27,,41.5,Autumn
12/23/1992,21,5.7747254,42.5,Autumn
12/24/1992,28,,33,Autumn
12/25/1992,32,-14.208791,27.5,Autumn
12/26/1992,28,,32,Autumn
12/27/1992,11,-13.81133,26,Autumn
12/28/1992,24,,36.5,Autumn
12/29/1992,36,-0.17032968,46,Autumn
12/30/1992,16,,53.5,Autumn
12/31/1992,22,5.8131866,61.5,Autumn
1/1/1993,18,,47,Winter
1/2/1993,14,-19.813135,32.5,Winter
1/3/1993,27,,34,Winter
1/4/1993,20,-6.2197804,51.5,Winter
1/5/1993,20,,53.5,Winter
1/6/1993,14,-8.3461542,42.5,Winter
1/7/1993,27,,43,Winter
1/8/1993,23,5.773767,41,Winter
1/9/1993,32,,34.5,Winter
1/10/1993,21,-12.587913,29,Winter
1/11/1993,18,,31.5,Winter
1/12/1993,13,-4.6263738,38,Winter
1/13/1993,34,,44.5,Winter
1/14/1993,20,-15.730091,40.5,Winter
1/15/1993,21,,38,Winter
1/16/1993,14,2.4725275,36.5,Winter
1/17/1993,19,,39,Winter
1/18/1993,24,-2.4340658,35.5,Winter
1/19/1993,19,,31.5,Winter
1/20/1993,26,-8.6502314,32.5,Winter
1/21/1993,22,,31.5,Winter
1/22/1993,29,23.65934,44.5,Winter
1/23/1993,29,,42,Winter
1/24/1993,19,-9.4615383,43.5,Winter
1/25/1993,19,,36,Winter
1/26/1993,20,-16.924488,30.5,Winter
1/27/1993,14,,34,Winter
1/28/1993,13,5.39011,32,Winter
1/29/1993,18,,34.5,Winter
1/30/1993,17,11.510989,33.5,Winter
1/31/1993,18,,45.5,Winter
2/1/1993,20,-13.208022,32.5,Winter
2/2/1993,23,,22.5,Winter
2/3/1993,15,-6.4670329,37,Winter
2/4/1993,18,,40.5,Winter
2/5/1993,15,-5.4780221,41,Winter
2/6/1993,28,,30,Winter
2/7/1993,21,-8.1637201,20,Winter
2/8/1993,18,,34.5,Winter
2/9/1993,18,7.4615383,31.5,Winter
2/10/1993,22,,39.5,Winter
2/11/1993,22,36.543957,39.5,Winter
2/12/1993,27,,34.5,Winter
2/13/1993,24,-18.406301,36.5,Winter
2/14/1993,21,,34,Winter
2/15/1993,24,-15.532967,34,Winter
2/16/1993,26,,39.5,Winter
2/17/1993,24,-10.769231,37.5,Winter
2/18/1993,21,,25,Winter
2/19/1993,27,-13.072322,16.5,Winter
2/20/1993,21,,28,Winter
2/21/1993,21,10.236263,30,Winter
2/22/1993,19,,40,Winter
2/23/1993,26,-2.6923077,31,Winter
2/24/1993,18,,23.5,Winter
2/25/1993,25,-11.627583,22,Winter
2/26/1993,24,,25,Winter
2/27/1993,25,-4.8241758,28.5,Winter
2/28/1993,26,,26,Winter
3/1/1993,23,-6.8066297,33,Winter
3/2/1993,18,,42.5,Winter
3/3/1993,26,16.509871,44,Winter
3/4/1993,29,,37.5,Winter
3/5/1993,29,25.038673,37.5,Winter
3/6/1993,18,,37.5,Winter
3/7/1993,23,-15.834254,41.5,Winter
3/8/1993,19,,43.5,Winter
